,id,TRBV9,TRBV8-2,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-5,TRBV7-4,TRBV7-3,TRBV7-2,TRBV7-1,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-2,TRBV5-1,TRBV4-3,TRBV4-2,TRBV4-1,TRBV30,TRBV3-2,TRBV3-1,TRBV29-1,TRBV28,TRBV27,TRBV26,TRBV25-1,TRBV24-1,TRBV23-1,TRBV22-1,TRBV21-1,TRBV20-1,TRBV2,TRBV19,TRBV18,TRBV17,TRBV16,TRBV15,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-3,TRBV12-2,TRBV12-1,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV1,TRAV3,TRAV20
0,HIP13754.txt,7144,,12044,3591,815,2375,57.0,265,1925,5927,1.0,52.0,60.0,101.0,5869,10404,2072,2922,8578,1486.0,40.0,4251,1623,5075,211,,15288,14.0,3011,7264,7292,8183,,5423,19540,12758,,1780,2906,464,,1223,16270,11203,13383,5527,,210.0,2799,1675,1337,1117,11984,,154.0,86.0,1275,4895,885.0,4482,942,1178,206,,
0,HIP01805.txt,10925,1.0,10912,3927,1293,2951,50.0,59,6520,10050,,72.0,77.0,123.0,6167,10832,2447,6794,6158,1814.0,68.0,5034,1760,6107,337,,15053,4565.0,1747,5532,9186,9041,1.0,6491,19345,8889,,2439,5965,654,,1494,20513,8881,16146,6835,,260.0,3927,2497,1885,788,13953,,213.0,86.0,1955,5040,1075.0,3425,959,1511,241,,
0,HIP13749.txt,8699,,8647,3291,865,2617,33.0,55,4258,7437,1.0,49.0,39.0,100.0,5396,8599,1833,6232,8424,1400.0,66.0,4033,1802,5818,213,,12895,2771.0,3334,5238,7381,7397,2.0,6052,4920,6588,,2298,3114,343,1.0,1101,15207,7597,12941,5736,2.0,166.0,2999,2375,1634,1666,11737,,193.0,65.0,3747,4888,999.0,4062,1004,1209,123,,
0,HIP10545.txt,1636,,2776,1150,339,843,7.0,75,397,2069,,16.0,22.0,35.0,1658,3844,821,1009,3289,385.0,23.0,1280,127,1199,37,,4961,2.0,1358,1608,5446,2044,3.0,3932,4037,1620,,919,1760,128,,245,6931,2997,1945,1447,,93.0,1197,669,610,120,3253,,37.0,13.0,232,1019,157.0,1312,351,332,99,,
0,HIP00734.txt,3077,,4278,1289,307,984,17.0,94,1192,3527,,19.0,18.0,35.0,2287,4057,701,2449,2586,598.0,31.0,1684,731,2275,96,,5135,1261.0,574,1873,3033,3031,,2589,5152,4712,,1280,1428,213,1.0,614,8362,3122,5841,2532,,95.0,1172,989,633,451,4440,,81.0,33.0,795,2092,380.0,1311,530,652,48,,
0,HIP13505.txt,1044,,1558,493,136,384,6.0,5,688,1355,,8.0,5.0,8.0,825,1358,261,832,1119,219.0,10.0,592,340,639,39,,1931,358.0,219,763,1103,921,,799,1397,1026,,250,553,86,,204,2778,1220,1844,1199,,28.0,408,332,194,128,1343,,28.0,11.0,259,777,173.0,313,152,167,15,,
0,HIP13511.txt,9225,,8678,2893,883,2670,57.0,66,4521,11373,1.0,77.0,53.0,97.0,5702,10318,1647,10550,6870,1225.0,68.0,5510,1921,6398,218,,13728,4946.0,3816,4570,222,9034,3.0,5588,7212,5813,,2313,2972,292,,825,19858,8724,10984,5854,,164.0,2902,2067,1557,1297,12494,,181.0,70.0,1549,4801,1366.0,5209,554,550,123,,
0,HIP13900.txt,5130,,4928,2140,474,1235,16.0,23,987,2230,2.0,29.0,27.0,43.0,3206,5463,1280,1968,4874,656.0,44.0,3379,752,3122,128,,5809,4.0,1703,3174,5960,4428,,5238,6480,4684,,1520,2105,231,,534,12346,6085,5769,3295,,119.0,2287,1289,862,371,6449,,77.0,31.0,1490,2377,401.0,2269,1003,839,111,,
0,HIP02855.txt,13500,,23895,5601,1474,4060,72.0,511,4034,10403,3.0,132.0,64.0,147.0,8954,15249,3577,4855,14915,2318.0,140.0,8218,2560,9925,364,1.0,29155,14.0,4454,11027,9227,15862,6.0,8326,22038,18930,,4899,10894,959,2.0,2929,43688,17782,17920,10612,4.0,356.0,6570,4596,3010,2412,23829,,390.0,137.0,7733,10385,1722.0,6670,2676,3475,308,,
0,HIP08499.txt,12861,,16518,5453,1533,4453,42.0,76,6122,5861,,100.0,53.0,122.0,8559,16199,2020,4234,11954,2006.0,94.0,7571,2002,6899,231,,23158,14.0,3519,10211,10140,12672,6.0,10956,5484,17229,,3939,7631,548,1.0,1467,26778,12417,18284,8880,3.0,222.0,5077,3536,2307,2160,18689,,195.0,79.0,3788,6612,1052.0,4014,2306,2864,185,,
